2017-05-11 14:03:41.831: ERROR: training.read_from_file: global name 'np' is not defined
2017-05-11 14:03:41.831: ERROR: training.read_from_file: global name 'np' is not defined
2017-05-11 14:03:41.846: ERROR: training.read_from_file: global name 'np' is not defined
2017-05-11 14:03:41.846: ERROR: training.read_from_file: global name 'np' is not defined
2017-05-11 14:03:41.846: ERROR: training.read_from_file: global name 'np' is not defined
2017-05-11 14:03:41.846: ERROR: training.read_from_file: global name 'np' is not defined
2017-05-11 14:03:41.846: ERROR: training.read_from_file: global name 'np' is not defined
2017-05-11 14:03:41.846: ERROR: training.read_from_file: global name 'np' is not defined
2017-05-11 14:03:41.862: ERROR: training.read_from_file: global name 'np' is not defined
2017-05-11 14:03:41.862: ERROR: training.read_from_file: global name 'np' is not defined
2017-05-11 14:03:41.862: ERROR: training.read_from_file: global name 'np' is not defined
2017-05-11 14:04:31.595: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:04:31.627: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:04:31.642: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:04:31.642: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:04:31.674: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:04:31.690: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:04:31.704: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:04:31.736: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:04:31.752: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:04:31.767: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:04:31.782: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:05:02.124: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:05:02.154: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:05:02.171: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:05:02.186: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:05:02.201: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:05:02.233: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:05:02.249: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:05:02.263: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:05:02.279: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:05:02.296: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
2017-05-11 14:05:02.326: ERROR: training.read_from_file: append() takes exactly one argument (2 given)
